id,text,QuestionId,createdAt,updatedAt
1,Yes,1,2020-07-21 10:00:00,2020-07-21 10:00:00
2,No,1,2020-07-21 10:00:00,2020-07-21 10:00:00
3,January,2,2020-07-21 10:00:00,2020-07-21 10:00:00
4,February,2,2020-07-21 10:00:00,2020-07-21 10:00:00
5,March,2,2020-07-21 10:00:00,2020-07-21 10:00:00
6,April,2,2020-07-21 10:00:00,2020-07-21 10:00:00
7,May,2,2020-07-21 10:00:00,2020-07-21 10:00:00
8,June,2,2020-07-21 10:00:00,2020-07-21 10:00:00
9,July,2,2020-07-21 10:00:00,2020-07-21 10:00:00
10,Male,3,2020-07-21 10:00:00,2020-07-21 10:00:00
11,Female,3,2020-07-21 10:00:00,2020-07-21 10:00:00
12,Service Industry Worker,4,2020-07-21 10:00:00,2020-07-21 10:00:00
13,Retail Worker,4,2020-07-21 10:00:00,2020-07-21 10:00:00
14,Salesperson - Goods,4,2020-07-21 10:00:00,2020-07-21 10:00:00
15,Salesperson - Services,4,2020-07-21 10:00:00,2020-07-21 10:00:00
16,Executive,4,2020-07-21 10:00:00,2020-07-21 10:00:00
17,Education - Teacher,4,2020-07-21 10:00:00,2020-07-21 10:00:00
18,Education - Student,4,2020-07-21 10:00:00,2020-07-21 10:00:00
19,Yes,5,2020-07-21 10:00:00,2020-07-21 10:00:00
20,No,5,2020-07-21 10:00:00,2020-07-21 10:00:00
21,1,6,2020-07-21 10:00:00,2020-07-21 10:00:00
22,2,6,2020-07-21 10:00:00,2020-07-21 10:00:00
23,3,6,2020-07-21 10:00:00,2020-07-21 10:00:00
24,More than 3,6,2020-07-21 10:00:00,2020-07-21 10:00:00
25,Office,7,2020-07-21 10:00:00,2020-07-21 10:00:00
26,Home,7,2020-07-21 10:00:00,2020-07-21 10:00:00
27,Office,8,2020-07-21 10:00:00,2020-07-21 10:00:00
28,Home,8,2020-07-21 10:00:00,2020-07-21 10:00:00
29,Improved,9,2020-07-21 10:00:00,2020-07-21 10:00:00
30,Degraded,9,2020-07-21 10:00:00,2020-07-21 10:00:00
31,Negatively effected,10,2020-07-21 10:00:00,2020-07-21 10:00:00
32,No change,10,2020-07-21 10:00:00,2020-07-21 10:00:00
33,Income Increased,10,2020-07-21 10:00:00,2020-07-21 10:00:00
34,Yes,11,2020-07-21 10:00:00,2020-07-21 10:00:00
35,No,11,2020-07-21 10:00:00,2020-07-21 10:00:00
36,< 1 Month,12,2020-07-21 10:00:00,2020-07-21 10:00:00
37,1 Month,12,2020-07-21 10:00:00,2020-07-21 10:00:00
38,2 Months,12,2020-07-21 10:00:00,2020-07-21 10:00:00
39,> 2 Months,12,2020-07-21 10:00:00,2020-07-21 10:00:00
40,Yes,13,2020-07-21 10:00:00,2020-07-21 10:00:00
41,No,13,2020-07-21 10:00:00,2020-07-21 10:00:00
42,Yes,14,2020-07-21 10:00:00,2020-07-21 10:00:00
43,No,14,2020-07-21 10:00:00,2020-07-21 10:00:00
44,Yes,15,2020-07-21 10:00:00,2020-07-21 10:00:00
45,No,15,2020-07-21 10:00:00,2020-07-21 10:00:00
46,Yes,16,2020-07-21 10:00:00,2020-07-21 10:00:00
47,No,16,2020-07-21 10:00:00,2020-07-21 10:00:00
48,No,17,2020-07-21 10:00:00,2020-07-21 10:00:00
49,No,17,2020-07-21 10:00:00,2020-07-21 10:00:00
